Число узлов n = 201
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
| 0.89000 |      3.070130e-07      |      4.379837e+03      |      4.073038e+03      |
| 0.89500 |      3.069194e-07      |      4.364697e+03      |      4.048433e+03      |
| 0.90000 |      3.068325e-07      |      4.350557e+03      |      4.024196e+03      |
| 0.90500 |      3.067520e-07      |      4.337481e+03      |      4.000324e+03      |
| 0.91000 |      3.066777e-07      |      4.325539e+03      |      3.976813e+03      |
| 0.91500 |      3.066093e-07      |      4.314811e+03      |      3.953659e+03      |
| 0.92000 |      3.065465e-07      |      4.305389e+03      |      3.930856e+03      |
| 0.92500 |      3.064892e-07      |      4.297376e+03      |      3.908397e+03      |
| 0.93000 |      3.064369e-07      |      4.290896e+03      |      3.886276e+03      |
| 0.93500 |      3.063895e-07      |      4.286090e+03      |      3.864484e+03      |
| 0.94000 |      3.063467e-07      |      4.283127e+03      |      3.843015e+03      |
| 0.94500 |      3.063082e-07      |      4.282208e+03      |      3.821858e+03      |
| 0.95000 |      3.062738e-07      |      4.283571e+03      |      3.801007e+03      |
| 0.95500 |      3.062432e-07      |      4.287508e+03      |      3.780452e+03      |
| 0.96000 |      3.062162e-07      |      4.294370e+03      |      3.760184e+03      |
| 0.96500 |      3.061925e-07      |      4.304591e+03      |      3.740195e+03      |
| 0.97000 |      3.061718e-07      |      4.318712e+03      |      3.720475e+03      |
| 0.97500 |      3.061540e-07      |      4.337410e+03      |      3.701017e+03      |
| 0.98000 |      3.061387e-07      |      4.361547e+03      |      3.681812e+03      |
| 0.98500 |      3.061258e-07      |      4.392239e+03      |      3.662851e+03      |
| 0.99000 |      3.061150e-07      |      4.430952e+03      |      3.644126e+03      |
| 0.99500 |      3.061061e-07      |      4.479648e+03      |      3.625629e+03      |
| 1.00000 |      3.060988e-07      |      4.468802e+03      |      3.607353e+03      |
--------------------------------------------------------------------------------------
